Category,Message,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,,,
ham,Hey check it da. I have listed da.,,,
ham,At 7 we will go ok na.,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",,,
ham,Oooh bed ridden ey? What are YOU thinking of?,,,
ham,"I'll see, but prolly yeah",,,
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301.",,,
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,,,
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),,,
spam,Recharge offer! Get â‚¹1405 bonus. Use coupon h14DZJ at http://reward-claim.net/eMaFN,,,
spam,Exclusive offer! Get cashback worth â‚¹2264. Visit http://reward-claim.net/xkmw3,,,
spam,Urgent: Suspicious activity detected. Secure your account: http://gift-now.in/3Mfq4,,,
ham,I jokin oni lar.. Ü busy then i wun disturb ü.,,,
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",,,
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",,,
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",,,
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,,,
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,,,
ham,Hey... Why dont we just go watch x men and have lunch... Haha,,,
ham,No no. I will check all rooms befor activities,,,
ham,Ü comin to fetch us oredi...,,,
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,,,
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,,,
ham,Have you laid your airtel line to rest?,,,
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",,,
ham,Anything lor... U decide...,,,
ham,Really? I crashed out cuddled on my sofa.,,,
ham,U reach orchard already? U wan 2 go buy tickets first?,,,
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",,,
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,
ham,Sent me ur email id soon,,,
ham,Sorry i missed your call. Can you please call back.,,,
ham,Oh Howda gud gud.. Mathe en samachara chikku:-),,,
ham,I love working from home :),,,
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,,,
spam,Recharge offer! Get â‚¹30234 bonus. Use coupon 3Y0VPl at http://reward-claim.net/6Cu7p,,,
ham,Eh den sat u book e kb liao huh...,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,"Thank you. And by the way, I just lost.",,,
ham,S:)no competition for him.,,,
ham,"Sorry, I'll call later",,,
ham,"Cool, I'll text you in a few",,,
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,,,
ham,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",,,
ham,Nah dub but je still buff,,,
spam,Recharge offer! Get â‚¹30234 bonus. Use coupon 3Y0VPl at http://reward-claim.net/6Cu7p,,,
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",,,
ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,,,
ham,Did you get any gift? This year i didnt get anything. So bad,,,
ham,Also remember to get dobby's bowl from your car,,,
ham,Nobody can decide where to eat and dad wants Chinese,,,
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",,,
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",,,
spam,Money i have won wining number 946 wot do i do next,,,
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
spam,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,,,
spam,Adult 18 Content Your video will be with you shortly,,,
ham,Am going to take bath ill place the key in window:-),,,
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",,,
ham,Oh. U must have taken your REAL Valentine out shopping first.,,,
ham,Dont talk to him ever ok its my word.,,,
ham,Otherwise had part time job na-tuition..,,,
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,,,
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,,,
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers,",,,
spam,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
spam,PRIVATE! Your 2003 Account Statement for 078,,,
ham,Kothi print out marandratha.,,,
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",,,
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,,,
ham,Check with nuerologist.,,,
ham,Ya srsly better than yi tho,,,
ham,Are you this much buzy,,,
ham,Its too late:)but its k.wish you the same.,,,
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,,,
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",,,
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,,,
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,
ham,I liked your new house,,,
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,,,
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,,,
ham,"sorry, no, have got few things to do. may be in pub later.",,,
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,,,
ham,Unlimited texts. Limited minutes.,,,
ham,Ok i go change also...,,,
spam,Recharge offer! Get â‚¹30234 bonus. Use coupon 3Y0VPl at http://reward-claim.net/6Cu7p,,,
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",,,
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month,,,
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month,,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month,,,
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,,
ham,From tomorrow onwards eve 6 to 3 work.,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
ham,Thank god they are in bed!,,,
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,,,
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
ham,"hey good afternonn, what are you up to",,,
ham,Nope. Meanwhile she talk say make i greet you.,,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
ham,JADE ITS PAUL. Y DIDN?T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,,,
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,,,
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,,,
ham,Were somewhere on Fredericksburg,,,
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
spam,RCT' THNQ Adrian for U text. Rgds Vatian,,,
ham,Ok i msg u b4 i leave my house.,,,
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",,,
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,,,
ham,COME BACK TO TAMPA FFFFUUUUUUU,,,
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",,,
ham,Hui xin is in da lib.,,,
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",,,
ham,New car and house for my parents.:)i have only new job in hand:),,,
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
ham,Nt yet chikku..simple habba..hw abt u?,,,
ham,I'm home.,,,
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon....",,,
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,,,
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",,,
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,
spam,Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ “,,,
ham,Pls help me tell Ashley that i cant find her number oh,,,
ham,Oh yah... We never cancel leh... Haha,,,
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",,,
ham,Crucify is c not s. You should have told me earlier.,,,
spam,85233 FREE>Ringtone!Reply REAL,,,
ham,Its a part of checking IQ,,,
ham,Shall i get my pouch?,,,
spam,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,,,
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,,,
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",,,
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK ?MORROW. C U THIS WK? WHO WAS THE MSG 4? ? RANDOM!,,,
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,,,
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,,,
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
ham,"Aight, I'll hit you up when I get some cash",,,
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,,,
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.,,,
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,,,
ham,ALRITE,,,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),,,
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,,,
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",,,
spam,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",,,
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant,,,
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),,,
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",,,
spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,,,
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",,,
spam,Your parcel is waiting for confirmation. Pay â‚¹1202 at http://secure-update.com/TIo0o,,,
spam,You are selected for a mega reward! Confirm now at http://gift-now.in/y0V6x,,,
spam,Your parcel is waiting for confirmation. Pay â‚¹28592 at http://gift-now.in/t86jz,,,
spam,Congratulations! You won â‚¹48290. Claim your reward at http://fastloan.co/RvOTO,,,
spam,Recharge offer! Get â‚¹45435 bonus. Use coupon jeuWX3 at http://secure-update.com/dJZLw,,,
spam,Your parcel is waiting for confirmation. Pay â‚¹28693 at http://verify-user.info/cPVH9,,,
spam,Urgent: Suspicious activity detected. Secure your account: http://secure-update.com/40ihm,,,
spam,Your number won a jackpot! Contact +918316878465 immediately.,,,
spam,Recharge offer! Get â‚¹8823 bonus. Use coupon udi4sA at http://gift-now.in/TZ2ap,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,,,
spam,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,,,
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",,,
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",,,
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",,,
ham,Mmm so yummy babe ... Nice jolt to the suzy,,,
ham,Haha i think i did too,,,
ham,Gokila is talking with you aha:),,,
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,,,
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",,,
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,,,
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,,,
ham,Once free call me sir.,,,
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,,,
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
ham,Is that seriously how you spell his name?,,,
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",,,
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",,,
ham,Good. No swimsuit allowed :),,,
ham,"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",,,
ham,"I'm a guy, browsin is compulsory",,,
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",,,
ham,"Yeah, that's fine! It's £6 to get in, is that ok?",,,
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,,,
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,,,
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",,,
ham,K.then any other special?,,,
ham,Is she replying. Has boye changed his phone number,,,
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",,,
ham,I like dis sweater fr mango but no more my size already so irritating.,,,
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,,,
ham,"Ok, be careful ! Don't text and drive !",,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,,,
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",,,
ham,K..k..any special today?,,,
ham,No no. I will check all rooms befor activities,,,
ham,is class canceled today,,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,"Cool, text me when you're ready",,,
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",,,
ham,Got it..mail panren paru..,,,
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
ham,Sorry da. I gone mad so many pending works what to do.,,,
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,,,
ham,Tell them the drug dealer's getting impatient,,,
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,,,
ham,His bday real is in april .,,,
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",,,
ham,His bday real is in april .,,,
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",,,
ham,"Sorry, I'll call you  later. I am in meeting sir.",,,
ham,X2  &lt;#&gt; . Are you going to get that,,,
ham,That's y u haf 2 keep me busy...,,,
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,,,
ham,And do you have any one that can teach me how to ship cars.,,,
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,,,
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",,,
ham,"It's wylie, you in tampa or sarasota?",,,
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,,,
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,,,
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",,,
spam,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,,,
ham,S:)but he had some luck.2 catches put down:),,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
spam,#ERROR!,,,
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",,,
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),,,
ham,Wat time u finish ur lect today?,,,
ham,"Tonight? Yeah, I'd be down for that",,,
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks",,,
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,,,
ham,O was not into fps then.,,,
ham,I'm gonna rip out my uterus.,,,
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,His bday real is in april .,,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
ham,Pls she needs to dat slowly or she will vomit more.,,,
ham,Cuz ibored. And don wanna study,,,
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",,,
ham,Ok. No wahala. Just remember that a friend in need ...,,,
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",,,
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,,,
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,,,
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),,,
ham,No. Yes please. Been swimming?,,,
ham,"That's cool, I'll come by like  &lt;#&gt; ish",,,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV",,,
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,,,
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
ham,Ok.,,,
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,,,
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,,,
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,,,
ham,Haha... can... But i'm having dinner with my cousin...,,,
ham,No one interested. May be some business plan.,,,
ham,His bday party is on friday .,,,
ham,Yes:)sura in sun tv.:)lol.,,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,K:)k:)good:)study well.,,,
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
